Dataset,Samples,Features,Classes,Accuracy,Macro_F1,Target
dataset_382_ipums_la_97-small.csv,7019,652,8,0.3006,0.2186,movedin
dataset_338_grub-damage.csv,155,29,4,0.3871,0.3815,GG_new
dataset_9_autos.csv,205,65,6,0.4146,0.2939,symboling
dataset_285_flags.csv,194,45,8,0.4872,0.3744,religion
dataset_373_UNIX_user_data.csv,9100,5964,9,0.4923,0.4239,user
dataset_23_cmc.csv,1473,9,3,0.5017,0.4708,Contraceptive_method_used
dataset_48_tae.csv,151,5,3,0.5161,0.5018,Class_attribute
dataset_188_eucalyptus.csv,736,86,5,0.5338,0.5001,Utility
dataset_5_arrhythmia.csv,452,279,13,0.5714,0.2047,class
dataset_181_yeast.csv,1484,8,10,0.5993,0.5569,class_protein_localization
dataset_378_ipums_la_99-small.csv,8844,594,7,0.6128,0.2383,movedin
dataset_327_bridges.csv,105,18,6,0.619,0.4421,TYPE
dataset_329_hayes-roth.csv,160,4,3,0.625,0.6311,class
dataset_381_ipums_la_98-small.csv,7485,596,7,0.6293,0.2554,movedin
dataset_41_glass.csv,214,9,6,0.6512,0.6023,Type
dataset_18_mfeat-morphological.csv,2000,6,10,0.6975,0.7065,class
dataset_54_vehicle.csv,846,18,4,0.7176,0.6897,Class
dataset_186_braziltourism.csv,412,8,7,0.7349,0.173,Trips
dataset_374_SyskillWebert-BioMedical.csv,131,260,3,0.7407,0.4255,class
dataset_328_bridges.csv,105,21,6,0.7619,0.5411,TYPE
dataset_10_lymph.csv,148,32,4,0.7667,0.7643,class
dataset_60_waveform-5000.csv,5000,40,3,0.771,0.7706,class
dataset_14_mfeat-fourier.csv,2000,76,10,0.82,0.8163,class
dataset_11_balance-scale.csv,625,4,3,0.824,0.5896,class
dataset_46_splice.csv,3190,227,3,0.8307,0.8258,Class
dataset_39_ecoli.csv,336,7,8,0.8382,0.6582,class
dataset_22_mfeat-zernike.csv,2000,47,10,0.8525,0.8123,class
dataset_182_satimage.csv,6430,36,6,0.8974,0.8781,class
dataset_42_soybean.csv,683,64,19,0.9124,0.9037,class
dataset_185_baseball.csv,1340,21,3,0.9179,0.4174,Hall_of_Fame
dataset_307_vowel.csv,990,25,11,0.9343,0.93,Class
dataset_57_hypothyroid.csv,3772,31,4,0.943,0.6652,Class
dataset_36_segment.csv,2310,19,7,0.9459,0.9447,class
dataset_16_mfeat-karhunen.csv,2000,64,10,0.955,0.9553,class
dataset_30_page-blocks.csv,5473,10,5,0.9626,0.8527,class
dataset_61_iris.csv,150,4,3,0.9667,0.9645,class
dataset_2_anneal.csv,898,32,5,0.9722,0.7515,class
dataset_187_wine.csv,178,13,3,0.9722,0.9722,class
dataset_35_dermatology.csv,366,34,6,0.973,0.9694,class
dataset_12_mfeat-factors.csv,2000,216,10,0.975,0.9751,class
dataset_20_mfeat-pixel.csv,2000,240,10,0.98,0.9791,class
dataset_28_optdigits.csv,5620,64,10,0.9804,0.9802,class
dataset_377_synthetic_control.csv,600,60,6,0.9833,0.9829,class
dataset_375_JapaneseVowels.csv,9961,14,9,0.9854,0.9854,speaker
dataset_62_zoo.csv,101,16,7,1.0,1.0,type
